Depth,CALI,DT,GR,NPHI,DENPHI,RS,RT,SP
10194.0000,,86.7308,,,,2.1935,1.2394,
10194.5000,,90.1141,48.0950,,,1.7934,1.2982,0.1885
10195.0000,,94.3812,48.0922,,,2.0383,1.2807,0.1940
10195.5000,,99.2376,48.0895,,,2.4444,1.1819,0.1995
10196.0000,,98.8124,47.9385,,,2.7389,1.1150,0.2049
10196.5000,,98.3871,47.1948,23.8520,27.9219,2.3240,1.0694,0.2290
10197.0000,8.6479,97.2777,46.4510,24.8787,28.9128,1.9307,1.0238,0.2578
10197.5000,8.6506,95.9971,51.2558,26.3769,29.4806,1.6234,0.9766,0.2866
10198.0000,8.6534,98.3580,56.0607,27.4422,24.6846,1.3161,0.9284,0.3154
10198.5000,8.6762,101.5884,66.2252,27.3869,20.8216,0.8753,0.8802,0.3365
10199.0000,8.7794,104.6554,80.0968,29.0126,17.7069,0.7897,0.8900,0.3385
10199.5000,8.8826,104.6606,87.4697,33.1595,16.9298,0.8249,0.8998,0.3387
10200.0000,9.1424,92.4186,82.6144,35.0761,18.4875,2.1740,0.8830,0.3313
10200.5000,9.3129,81.6670,75.0806,40.1070,19.9184,3.5098,0.8261,0.3249
10201.0000,9.1260,76.7061,67.0420,38.4063,16.4503,2.8585,0.7693,0.3212
10201.5000,8.9791,75.6055,64.1278,28.2258,18.8485,1.4853,0.7124,0.3176
10202.0000,8.9923,80.2527,66.6949,20.7604,6.3654,1.0113,0.6616,0.3137
10202.5000,9.0056,88.7317,70.6324,19.3078,4.8532,0.9986,0.6146,0.3011
10203.0000,9.0166,92.0032,75.7657,25.7001,8.4849,0.9860,0.5677,0.2955
10203.5000,9.0260,93.8921,78.8429,30.4219,12.8582,0.9733,0.5300,0.2894
10204.0000,9.0354,93.7070,73.3748,34.1086,15.9891,0.9898,0.4923,0.2831
10204.5000,9.0448,93.5219,71.4096,33.6544,16.9313,1.1229,0.4545,0.2718
10205.0000,8.9048,93.3368,72.9165,33.2002,17.1557,1.2706,0.4471,0.2611
10205.5000,8.8561,93.6319,72.1287,32.4016,17.3800,1.4763,0.4472,0.2647
10206.0000,8.8074,95.8480,65.3712,31.5168,20.0133,1.2370,0.4694,0.2705
10206.5000,8.7619,98.0641,63.4274,31.2879,20.4862,1.0375,0.4915,0.2837
10207.0000,8.7212,100.1209,66.5952,32.0425,20.9591,0.7941,0.5137,0.3090
10207.5000,8.8549,102.0715,71.5744,35.9885,21.5404,0.8044,0.5359,0.3195
